x,Curve1
0.004965,8.23e-12
0.007902,2.684e-10
0.011542,1.736e-10
0.016518,5.546e-10
0.025718,2.049e-09
0.034572,3.232e-08
0.04643,3.232e-08
0.06644,8.93e-08
0.09512,9.11e-07
0.28475,3.435e-05
0.4821,3.435e-05
0.735,0.0001467
0.8169,0.0004053
1.0729,1.438e-05
1.5354,4.592e-05
1.9759,1.243e-05
2.9464,2.518e-06
3.342,9.11e-07
4.477,1.146e-09
5.302,5.66e-09
